Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Bond Fund,3.22544E+11,2810605055,114.7596,114.7596,114.7596,12/30/2022
Bond Fund,3.22201E+11,2808386688,114.7283,114.7283,114.7283,12/29/2022
Bond Fund,3.2224E+11,2809499625,114.6966,114.6966,114.6966,12/28/2022
Bond Fund,3.2101E+11,2802003905,114.5646,114.5646,114.5646,12/27/2022
Bond Fund,3.19299E+11,2790119224,114.4393,114.4393,114.4393,12/23/2022
Bond Fund,3.18894E+11,2787342894,114.4078,114.4078,114.4078,12/22/2022
Bond Fund,3.1721E+11,2774121971,114.3462,114.3462,114.3462,12/20/2022
Bond Fund,3.16342E+11,2767280942,114.3152,114.3152,114.3152,12/19/2022
Bond Fund,3.15708E+11,2763970521,114.2226,114.2226,114.2226,12/16/2022
Bond Fund,3.09989E+11,2714617849,114.1923,114.1923,114.1923,12/15/2022
Bond Fund,3.09857E+11,2714209234,114.1611,114.1611,114.1611,12/14/2022
Bond Fund,3.09159E+11,2708829366,114.1302,114.1302,114.1302,12/13/2022
Bond Fund,3.07914E+11,2698661853,114.0987,114.0987,114.0987,12/12/2022
Bond Fund,3.07148E+11,2694872003,113.9751,113.9751,113.9751,12/8/2022
Bond Fund,3.06416E+11,2689173633,113.9442,113.9442,113.9442,12/7/2022
Bond Fund,3.05531E+11,2682136602,113.9131,113.9131,113.9131,12/6/2022
Bond Fund,3.04911E+11,2677433835,113.8819,113.8819,113.8819,12/5/2022
Bond Fund,3.02344E+11,2657069338,113.7885,113.7885,113.7885,12/2/2022
Bond Fund,3.0133E+11,2648893275,113.757,113.757,113.757,12/1/2022
Bond Fund,3.0336E+11,2644190021,114.7269,114.7269,114.7269,11/30/2022
Bond Fund,3.02904E+11,2640935811,114.6958,114.6958,114.6958,11/29/2022
Bond Fund,3.01296E+11,2627679789,114.6624,114.6624,114.6624,11/28/2022
Bond Fund,3.00647E+11,2624177222,114.568,114.568,114.568,11/25/2022
Bond Fund,3.00012E+11,2619354795,114.5366,114.5366,114.5366,11/24/2022
Bond Fund,2.99132E+11,2612385608,114.5051,114.5051,114.5051,11/23/2022
Bond Fund,2.98574E+11,2608223888,114.4742,114.4742,114.4742,11/22/2022
Bond Fund,2.97794E+11,2602083655,114.4445,114.4445,114.4445,11/21/2022
Bond Fund,2.97506E+11,2601669040,114.352,114.352,114.352,11/18/2022
