Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Jikimu Fund,19122648898,120180812.9,159.1157,159.1157,155.9333,12/30/2022
Jikimu Fund,19098045025,120102700.6,159.0143,159.0143,155.834,12/29/2022
Jikimu Fund,19110252753,120205865.7,158.9794,158.9794,155.7998,12/28/2022
Jikimu Fund,19105325349,120200845.8,158.945,158.945,155.7661,12/27/2022
Jikimu Fund,19082634619,120161666.2,158.808,158.808,155.6318,12/23/2022
Jikimu Fund,19060195727,120046552.7,158.7734,158.7734,155.5979,12/22/2022
Jikimu Fund,19061315119,120049166,158.7792,158.7792,155.6037,12/20/2022
Jikimu Fund,19014507523,119975907.8,158.486,158.486,155.3163,12/19/2022
Jikimu Fund,19182265604,121119495.4,158.3747,158.3747,155.2072,12/16/2022
Jikimu Fund,19161700856,121040811.5,158.3078,158.3078,155.1416,12/15/2022
Jikimu Fund,19193447311,121267742.8,158.2733,158.2733,155.1078,12/14/2022
Jikimu Fund,19180110451,121209196.7,158.2397,158.2397,155.0749,12/13/2022
Jikimu Fund,19145550348,121016536.5,158.2061,158.2061,155.0419,12/12/2022
Jikimu Fund,19129902377,120995375.9,158.1044,158.1044,154.9423,12/8/2022
Jikimu Fund,19183613857,121300519.8,158.1495,158.1495,154.9865,12/7/2022
Jikimu Fund,18731133633,118879348.3,157.5642,157.5642,154.413,12/6/2022
Jikimu Fund,18687755869,118567135.5,157.6133,157.6133,154.461,12/5/2022
Jikimu Fund,18702748944,118541856,157.7734,157.7734,154.6179,12/2/2022
Jikimu Fund,18719818337,118582521.9,157.8632,157.8632,154.706,12/1/2022
Jikimu Fund,18760211617,118868846.7,157.8228,157.8228,154.6663,11/30/2022
Jikimu Fund,18741732491,118827693.4,157.7219,157.7219,154.5675,11/29/2022
Jikimu Fund,18703956474,118613802.1,157.6879,157.6879,154.5341,11/28/2022
Jikimu Fund,18762694674,119064813.4,157.5839,157.5839,154.4322,11/25/2022
Jikimu Fund,18726825392,119031982.6,157.326,157.326,154.1795,11/24/2022
Jikimu Fund,18722580794,119030106.4,157.2928,157.2928,154.147,11/23/2022
Jikimu Fund,18701044208,119005543.5,157.1443,157.1443,154.0014,11/22/2022
Jikimu Fund,18701229372,118938789.6,157.2341,157.2341,154.0894,11/21/2022
Jikimu Fund,18685250753,118912131.1,157.1349,157.1349,153.9922,11/18/2022
Jikimu Fund,18679109988,118898112.9,157.1018,157.1018,153.9598,11/17/2022
Jikimu Fund,18673675463,118888562.9,157.0687,157.0687,153.9274,11/16/2022
Jikimu Fund,18601751151,118455533.1,157.0357,157.0357,153.895,11/15/2022
Jikimu Fund,18606766164,118484446.4,157.0397,157.0397,153.8989,11/14/2022
Jikimu Fund,18588921629,118445685.3,156.9405,156.9405,153.8017,11/11/2022
Jikimu Fund,18559888639,118285654.6,156.9074,156.9074,153.7692,11/10/2022
Jikimu Fund,18591706083,118541897.7,156.8366,156.8366,153.6999,11/9/2022
Jikimu Fund,18586373105,118558802.3,156.7692,156.7692,153.6339,11/8/2022
Jikimu Fund,18570757289,118458496.3,156.7702,156.7702,153.6348,11/7/2022
Jikimu Fund,18560071167,118465244.2,156.671,156.671,153.5376,11/4/2022
Jikimu Fund,18616494651,118850577.1,156.6378,156.6378,153.5051,11/3/2022
Jikimu Fund,18617670026,118835672.9,156.6674,156.6674,153.534,11/2/2022
Jikimu Fund,18650988222,118822644.5,156.9649,156.9649,153.8256,11/1/2022
Jikimu Fund,18703049317,119103297.9,157.0322,157.0322,153.8915,10/31/2022
Jikimu Fund,18697628957,119054533.7,157.051,157.051,153.9099,10/28/2022
Jikimu Fund,18690862490,119035848,157.0188,157.0188,153.8784,10/27/2022
Jikimu Fund,18549261081,119131873.3,155.7036,155.7036,152.5895,10/26/2022
Jikimu Fund,18542475077,119113800,155.6703,155.6703,152.5568,10/25/2022
Jikimu Fund,18530577292,119011926.9,155.7035,155.7035,152.5895,10/24/2022
Jikimu Fund,18505834882,118929312.9,155.6036,155.6036,152.4916,10/21/2022
Jikimu Fund,18534755117,119191918.1,155.5035,155.5035,152.3934,10/18/2022
Jikimu Fund,18536322119,119313570.8,155.358,155.358,152.2509,10/17/2022
Jikimu Fund,18518131305,119299356.2,155.2241,155.2241,152.1196,10/13/2022
Jikimu Fund,18524401319,119271851.8,155.3124,155.3124,152.2062,10/12/2022
Jikimu Fund,18541565820,119264983.3,155.4653,155.4653,152.356,10/11/2022
Jikimu Fund,18383472739,118221196.1,155.5006,155.5006,152.3906,10/10/2022
Jikimu Fund,18330524706,117957498.4,155.3994,155.3994,152.2914,10/7/2022
Jikimu Fund,18322268241,117930041.6,155.3656,155.3656,152.2583,10/6/2022
Jikimu Fund,18321556002,117925187.3,155.3659,155.3659,152.2586,10/5/2022
Jikimu Fund,6565078765,12259367.18,535.5153,535.5153,530.1602,10/4/2022
Jikimu Fund,18276500681,117686327.7,155.2984,155.2984,152.1925,10/3/2022
Jikimu Fund,18612365936,117653406.4,158.1966,158.1966,155.0326,9/30/2022
Jikimu Fund,18621688526,117756220.8,158.1376,158.1376,154.9749,9/29/2022
Jikimu Fund,18595472521,117615458,158.104,158.104,154.9419,9/28/2022
Jikimu Fund,18598595879,117475514,158.3189,158.3189,155.1525,9/27/2022
Jikimu Fund,18568847977,117338013.4,158.2509,158.2509,155.0859,9/26/2022
Jikimu Fund,18539191160,117225478,158.1498,158.1498,154.9868,9/23/2022
Jikimu Fund,18543149944,117275722.2,158.1158,158.1158,154.9535,9/22/2022
Jikimu Fund,18530430171,117220240.3,158.0822,158.0822,154.9205,9/21/2022
Jikimu Fund,18520458062,117182346.8,158.0482,158.0482,154.8872,9/20/2022
Jikimu Fund,18507277068,117067949.9,158.09,158.09,154.9282,9/19/2022
Jikimu Fund,18488549112,117025003.6,157.988,157.988,154.8283,9/16/2022
Jikimu Fund,18676903345,118247701.7,157.9473,157.9473,154.7883,9/15/2022
Jikimu Fund,18621541325,118238733.3,157.491,157.491,154.3412,9/14/2022
Jikimu Fund,18632873060,118225722.9,157.6042,157.6042,154.4521,9/13/2022
Jikimu Fund,18625196593,118178701.8,157.602,157.602,154.4499,9/12/2022
Jikimu Fund,18576505018,118099131.8,157.2959,157.2959,154.1499,9/9/2022
Jikimu Fund,18590268748,118212079.8,157.262,157.262,154.1168,9/8/2022
Jikimu Fund,18576632637,118174394.2,157.1968,157.1968,154.0528,9/7/2022
Jikimu Fund,18568384846,118147244.1,157.1631,157.1631,154.0198,9/6/2022
Jikimu Fund,18551332421,118081546.7,157.1061,157.1061,153.964,9/5/2022
Jikimu Fund,18549815840,118028585.8,157.1638,157.1638,154.0205,9/2/2022
Jikimu Fund,18510135643,117801385.9,157.13,157.13,153.9874,9/1/2022
Jikimu Fund,18543398947,117999227.4,157.1485,157.1485,154.0055,8/31/2022
Jikimu Fund,18518980329,117994216.1,156.9482,156.9482,153.8092,8/30/2022
Jikimu Fund,18498281664,117913383.7,156.8803,156.8803,153.7426,8/29/2022
Jikimu Fund,18477363112,117907691.3,156.7104,156.7104,153.5762,8/26/2022
Jikimu Fund,18515142234,118174277.3,156.6766,156.6766,153.5431,8/25/2022
Jikimu Fund,18453510268,117680574.2,156.8102,156.8102,153.674,8/24/2022
