Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Umoja Fund,3.02292E+11,344671758.3,877.0422,877.0422,868.2718,12/30/2022
Umoja Fund,3.02042E+11,344671847.7,876.3168,876.3168,867.5536,12/29/2022
Umoja Fund,3.02007E+11,344681742.4,876.1918,876.1918,867.4299,12/28/2022
Umoja Fund,3.02027E+11,344753407.1,876.0658,876.0658,867.3051,12/27/2022
Umoja Fund,3.01826E+11,344721179.5,875.5668,875.5668,866.8112,12/23/2022
Umoja Fund,3.01797E+11,344736486.4,875.4419,875.4419,866.6874,12/22/2022
Umoja Fund,3.01901E+11,344755073,875.6968,875.6968,866.9399,12/20/2022
Umoja Fund,3.01236E+11,344734706.3,873.8193,873.8193,865.0811,12/19/2022
Umoja Fund,3.01112E+11,344737534,873.4525,873.4525,864.718,12/16/2022
Umoja Fund,3.00957E+11,344725721.2,873.0342,873.0342,864.3038,12/15/2022
Umoja Fund,3.01074E+11,344910483.6,872.9058,872.9058,864.1768,12/14/2022
Umoja Fund,3.00981E+11,344849996.1,872.7878,872.7878,864.0599,12/13/2022
Umoja Fund,3.00869E+11,344778021.2,872.6453,872.6453,863.9188,12/12/2022
Umoja Fund,3.00774E+11,344745618.7,872.4526,872.4526,863.7281,12/8/2022
Umoja Fund,3.00828E+11,344767736.5,872.5529,872.5529,863.8273,12/7/2022
Umoja Fund,2.99092E+11,344739997.3,867.5872,867.5872,858.9114,12/6/2022
Umoja Fund,2.99054E+11,2.99054E+11,867.6087,867.6087,858.9327,12/5/2022
Umoja Fund,2.99513E+11,344665382.6,868.9968,868.9968,860.3069,12/2/2022
Umoja Fund,2.99651E+11,344728767.6,869.2364,869.2364,860.5441,12/1/2022
Umoja Fund,2.99549E+11,344659077.2,869.116,869.116,860.4249,11/30/2022
Umoja Fund,2.99164E+11,344566893.5,868.2322,868.2322,859.5499,11/29/2022
Umoja Fund,2.99097E+11,344538782.8,868.1098,868.1098,859.4287,11/28/2022
Umoja Fund,2.99018E+11,344592672.7,867.7421,867.7421,859.0647,11/25/2022
Umoja Fund,2.98462E+11,344598708.9,866.1156,866.1156,857.4544,11/24/2022
Umoja Fund,2.98445E+11,344627571.8,865.9931,865.9931,857.3331,11/23/2022
Umoja Fund,2.98213E+11,344614972.4,865.3517,865.3517,856.6981,11/22/2022
Umoja Fund,2.98269E+11,344583340.7,865.5937,865.5937,856.9377,11/21/2022
Umoja Fund,2.98087E+11,344517928.7,865.2304,865.2304,856.578,11/18/2022
Umoja Fund,2.98011E+11,344478078.5,865.1092,865.1092,856.4581,11/17/2022
Umoja Fund,2.97955E+11,344461073.7,864.988,864.988,856.3381,11/16/2022
Umoja Fund,2.97901E+11,344447238.4,864.8668,864.8668,856.2181,11/15/2022
Umoja Fund,2.98079E+11,344602854.1,864.9937,864.9937,856.3438,11/14/2022
Umoja Fund,2.98082E+11,344751120,864.6302,864.6302,855.9839,11/11/2022
Umoja Fund,2.98037E+11,344737553.4,864.5333,864.5333,864.5333,11/10/2022
Umoja Fund,2.98108E+11,344968752.3,864.1604,864.1604,855.5188,11/9/2022
Umoja Fund,2.97953E+11,344953264.7,863.7477,863.7477,855.1102,11/8/2022
Umoja Fund,2.95711E+11,344938912.3,857.2843,857.2843,848.7115,11/7/2022
Umoja Fund,2.95597E+11,344953730.7,856.9177,856.9177,848.3485,11/4/2022
Umoja Fund,2.95701E+11,345123944.8,856.7953,856.7953,848.2273,11/3/2022
Umoja Fund,2.95659E+11,345111145.8,856.7078,856.7078,848.1407,11/2/2022
Umoja Fund,2.95941E+11,345100111,857.5513,857.5513,848.9758,11/1/2022
Umoja Fund,2.96048E+11,345090697,857.8838,857.8838,849.305,10/31/2022
Umoja Fund,2.96063E+11,345047841.3,858.0356,858.0356,849.4553,10/28/2022
Umoja Fund,2.9601E+11,345034580.1,857.9135,857.9135,849.3343,10/27/2022
Umoja Fund,2.96397E+11,345097760.8,858.8778,858.8778,850.289,10/26/2022
Umoja Fund,2.9631E+11,345075555.6,858.6806,858.6806,850.0938,10/25/2022
Umoja Fund,2.96296E+11,345026101,858.7628,858.7628,850.1752,10/24/2022
