Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Watoto Fund,8426930098,15378315.7,547.9748,547.9748,542.4951,12/30/2022
Watoto Fund,8411487438,15359492.5,547.641,547.641,542.1646,12/29/2022
Watoto Fund,8401340188,15344420.53,547.5176,547.5176,542.0424,12/28/2022
Watoto Fund,8407602264,15359370.72,547.3924,547.3924,541.9184,12/27/2022
Watoto Fund,8368494656,15301682.75,546.9003,546.9003,541.4313,12/23/2022
Watoto Fund,8358435338,15286738.02,546.7769,546.7769,541.3091,12/22/2022
Watoto Fund,8325741844,15228954.41,546.7048,546.7048,541.2377,12/20/2022
Watoto Fund,8307909600,15216387.89,545.9843,545.9843,540.5245,12/19/2022
Watoto Fund,8283513052,15181823.21,545.6204,545.6204,540.1642,12/16/2022
Watoto Fund,8271301463,15165786.83,545.3922,545.3922,539.9383,12/15/2022
Watoto Fund,8280258172,15165708.9,545.2685,545.2685,539.8158,12/14/2022
Watoto Fund,8267543386,15165708.9,545.1472,545.1472,539.6957,12/13/2022
Watoto Fund,8262763623,15160322,545.0256,545.0256,539.5753,12/12/2022
Watoto Fund,8232389060,15115077.22,544.6475,544.6475,539.201,12/8/2022
Watoto Fund,8232729954,15113749.75,544.7179,544.7179,539.2707,12/7/2022
Watoto Fund,8197384728,15090306.51,543.2219,543.2219,537.7897,12/6/2022
Watoto Fund,8149064810,14997775.1,543.3516,543.3516,537.9181,12/5/2022
Watoto Fund,8142832491,14979671.19,543.5922,543.5922,538.1563,12/2/2022
Watoto Fund,8143098992,14973411.15,543.8373,543.8373,538.3989,12/1/2022
Watoto Fund,8132223793,14956802.37,543.7141,543.7141,538.2769,11/30/2022
Watoto Fund,8119955751,14940506.53,543.486,543.486,538.0511,11/29/2022
Watoto Fund,8063140246,14839279.86,543.3647,543.3647,537.931,11/28/2022
Watoto Fund,8051570048,14827954.47,542.9994,542.9994,537.5694,11/25/2022
Watoto Fund,8031534021,14808721.36,542.3516,542.3516,536.9281,11/24/2022
Watoto Fund,8019698081,14790210.49,542.2302,542.2302,536.8079,11/23/2022
Watoto Fund,8006869990,14778170.05,541.8039,541.8039,536.3858,11/22/2022
Watoto Fund,8003767263,14765744.99,542.0497,542.0497,536.6292,11/21/2022
Watoto Fund,7998050420,14764978.39,541.6906,541.6906,536.2737,11/18/2022
Watoto Fund,7989428603,14752314.95,541.5712,541.5712,536.1555,11/17/2022
Watoto Fund,7937539310,14659725.24,541.4521,541.4521,536.0376,11/16/2022
Watoto Fund,7941859615,14670997.27,541.3306,541.3306,535.9173,11/15/2022
Watoto Fund,7935394951,14659904.65,541.2992,541.2992,535.8862,11/14/2022
Watoto Fund,7923552051,14647756.92,540.9396,540.9396,535.5302,11/11/2022
Watoto Fund,7910814359,14627387.93,540.8221,540.8221,535.4139,11/10/2022
Watoto Fund,7891987086,14598148.51,540.6156,540.6156,535.2095,11/9/2022
Watoto Fund,7874647445,14572181.1,540.3891,540.3891,534.9852,11/8/2022
Watoto Fund,7859706605,14544635.93,540.3852,540.3852,534.9814,11/7/2022
Watoto Fund,7848205522,14532647.37,540.0396,540.0396,534.6392,11/4/2022
Watoto Fund,7794503300,14436314.82,539.9233,539.9233,534.5241,11/3/2022
Watoto Fund,7793012662,14431146.65,540.0134,540.0134,534.6133,11/2/2022
Watoto Fund,7795920452,14412776.23,540.9035,540.9035,535.4944,11/1/2022
Watoto Fund,7814757019,14444464.58,541.0209,541.0209,535.6107,10/31/2022
