Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Wekeza Maisha Fund,6658727936,8978247.54,741.6512,741.6512,726.8182,12/30/2022
Wekeza Maisha Fund,6640437731,8957835.83,741.2993,741.2993,726.4733,12/29/2022
Wekeza Maisha Fund,6631795100,8948322.05,741.1216,741.1216,726.2992,12/28/2022
Wekeza Maisha Fund,6598529942,8905299.56,740.9666,740.9666,726.1473,12/27/2022
Wekeza Maisha Fund,6583067012,8892450.96,740.2984,740.2984,725.4924,12/23/2022
Wekeza Maisha Fund,6577693821,8887212.95,740.1301,740.1301,725.3275,12/22/2022
Wekeza Maisha Fund,6569144988,8858135.51,740.1646,740.1646,725.3613,12/20/2022
Wekeza Maisha Fund,6543855899,8858135.51,738.7396,738.7396,723.9649,12/19/2022
Wekeza Maisha Fund,6533251885,8849636.91,738.2508,738.2508,723.4858,12/16/2022
Wekeza Maisha Fund,6526248769,8843005.13,738.0126,738.0126,723.2523,12/15/2022
Wekeza Maisha Fund,6523597144,8816616.48,737.8486,737.8486,723.0916,12/14/2022
Wekeza Maisha Fund,6503891766,8816616.48,737.6857,737.6857,722.932,12/13/2022
Wekeza Maisha Fund,6456722129,8754604.26,737.523,737.523,722.7726,12/12/2022
Wekeza Maisha Fund,6441733704,8741145.44,736.9439,736.9439,722.205,12/8/2022
Wekeza Maisha Fund,6430173802,8726498.16,736.8561,736.8561,722.119,12/7/2022
Wekeza Maisha Fund,6372594074,8662240.89,735.675,735.675,720.9615,12/6/2022
Wekeza Maisha Fund,6362304917,8644136.9,736.0255,736.0255,721.305,12/5/2022
Wekeza Maisha Fund,6359598260,8631071.62,736.826,736.826,722.0895,12/2/2022
Wekeza Maisha Fund,6359710765,8625153.29,737.3447,737.3447,722.5978,12/1/2022
Wekeza Maisha Fund,6308979080,8558262.67,737.1799,737.1799,722.4363,11/30/2022
Wekeza Maisha Fund,6297779407,8548476.97,736.7136,736.7136,721.9793,11/29/2022
Wekeza Maisha Fund,6275109365,8519585.58,736.551,736.551,721.82,11/28/2022
Wekeza Maisha Fund,6267238622,8514555.41,736.0618,736.0618,721.3405,11/25/2022
Wekeza Maisha Fund,6253378339,8510648.7,734.7711,734.7711,720.0756,11/24/2022
Wekeza Maisha Fund,6247104260,8503997,734.608,734.608,719.9158,11/23/2022
Wekeza Maisha Fund,6240352111,8498400.26,734.2973,734.2973,719.6113,11/22/2022
Wekeza Maisha Fund,6236447412,8487108.97,734.8141,734.8141,720.1178,11/21/2022
Wekeza Maisha Fund,6131299040,8349214.07,734.3564,734.3564,719.6693,11/18/2022
Wekeza Maisha Fund,6108725455,8320229.05,734.2016,734.2016,719.5176,11/17/2022
Wekeza Maisha Fund,6094904124,8303161.54,734.0462,734.0462,719.3653,11/16/2022
Wekeza Maisha Fund,5895647044,8033429.72,733.8892,733.8892,719.2114,11/15/2022
Wekeza Maisha Fund,5892216332,8028311.54,733.9297,733.9297,719.2511,11/14/2022
Wekeza Maisha Fund,5885011116,8023671.27,733.4562,733.4562,718.787,11/11/2022
Wekeza Maisha Fund,5861576295,7993439.41,733.2984,733.2984,718.6324,11/10/2022
Wekeza Maisha Fund,5846897256,7977322.84,732.9398,732.9398,718.281,11/9/2022
Wekeza Maisha Fund,5835600492,7964543.31,732.6974,732.6974,718.0435,11/8/2022
Wekeza Maisha Fund,5823453546,7948780.07,732.6223,732.6223,717.9699,11/7/2022
Wekeza Maisha Fund,5811295750,7937345.97,732.146,732.146,717.503,11/4/2022
Wekeza Maisha Fund,5803172200,7927971.97,731.987,731.987,717.3472,11/3/2022
Wekeza Maisha Fund,5802690690,7923784.3,732.3131,732.3131,717.6668,11/2/2022
Wekeza Maisha Fund,5813151572,7919036.82,734.0731,734.0731,719.3916,11/1/2022
Wekeza Maisha Fund,5799733659,7900284.6,734.1171,734.1171,719.4347,10/31/2022
Wekeza Maisha Fund,5791038370,7891733.93,733.8106,733.8106,719.1344,10/28/2022
Wekeza Maisha Fund,5771471714,7866758.93,733.6531,733.6531,718.98,10/27/2022
Wekeza Maisha Fund,5771774803,7845621.61,735.6683,735.6683,720.9549,10/26/2022
Wekeza Maisha Fund,5768104381,7842325.02,735.5095,735.5095,720.7993,10/25/2022
Wekeza Maisha Fund,5742693889,7809461.19,735.3508,735.3508,720.6438,10/24/2022
Wekeza Maisha Fund,5731576331,7799386.25,734.8753,734.8753,720.1778,10/21/2022
Wekeza Maisha Fund,5720487559,7789302.44,734.4031,734.4031,719.715,10/18/2022
Wekeza Maisha Fund,5695864234,7763939.65,733.6307,733.6307,718.9581,10/17/2022
Wekeza Maisha Fund,5682720759,7752629.98,733.0055,733.0055,718.3454,10/13/2022
Wekeza Maisha Fund,5680475510,7751593.93,732.8139,732.8139,718.1576,10/12/2022
Wekeza Maisha Fund,5668814822,7726453.76,733.6891,733.6891,719.0153,10/11/2022
Wekeza Maisha Fund,5658969603,7714688.79,733.5318,733.5318,718.8612,10/10/2022
Wekeza Maisha Fund,5670553366,7736245.16,732.9852,732.9852,718.3255,10/7/2022
Wekeza Maisha Fund,5668031956,7734457.51,732.8286,732.8286,718.1721,10/6/2022
Wekeza Maisha Fund,5661373662,7726113.27,732.7583,732.7583,718.1031,10/5/2022
Wekeza Maisha Fund,5652687321,7715909.65,732.6015,732.6015,717.9495,10/4/2022
Wekeza Maisha Fund,5634071844,7692145.74,732.4448,732.4448,717.7959,10/3/2022
Wekeza Maisha Fund,5624413535,7683907.36,731.9731,731.9731,717.3336,9/30/2022
Wekeza Maisha Fund,5616702421,7675391.31,731.7806,731.7806,717.145,9/29/2022
Wekeza Maisha Fund,5533454337,7666919.83,721.7311,721.7311,707.2965,9/28/2022
Wekeza Maisha Fund,5532469929,7658135.89,722.4304,722.4304,707.9818,9/27/2022
Wekeza Maisha Fund,5517170976,7639456.7,722.1942,722.1942,707.7503,9/26/2022
Wekeza Maisha Fund,5509584271,7632303.01,721.877,721.877,707.4395,9/23/2022
Wekeza Maisha Fund,5504494338,7626832.33,721.7275,721.7275,707.2929,9/22/2022
Wekeza Maisha Fund,5501481732,7624238.01,721.5779,721.5779,707.1464,9/21/2022
Wekeza Maisha Fund,5499222882,7622687.84,721.4283,721.4283,706.9998,9/20/2022
Wekeza Maisha Fund,5499550312,7620287.95,721.6985,721.6985,707.2645,9/19/2022
Wekeza Maisha Fund,5493355638,7616323.84,721.2608,721.2608,706.8356,9/16/2022
Wekeza Maisha Fund,5492049957,7616094.8,721.111,721.111,706.6888,9/15/2022
Wekeza Maisha Fund,5474404206,7609486.57,719.4183,719.4183,705.03,9/14/2022
Wekeza Maisha Fund,5457634990,7580206.92,719.985,719.985,705.5853,9/13/2022
Wekeza Maisha Fund,5452859214,7572508.71,720.0862,720.0862,705.6845,9/12/2022
Wekeza Maisha Fund,5433942767,7551238.6,719.6095,719.6095,705.2173,9/9/2022
Wekeza Maisha Fund,5471551802,7605130.9,719.4553,719.4553,705.0662,9/8/2022
Wekeza Maisha Fund,5456013678,7585410.71,719.2773,719.2773,704.8917,9/7/2022
Wekeza Maisha Fund,5440934745,7566316.77,719.0995,719.0995,704.7175,9/6/2022
Wekeza Maisha Fund,5431666986,7554978.82,718.952,718.952,704.5729,9/5/2022
Wekeza Maisha Fund,5407739518,7520441.18,719.0721,719.0721,704.6907,9/2/2022
Wekeza Maisha Fund,5400705123,7512260.62,718.9188,718.9188,704.5404,9/1/2022
Wekeza Maisha Fund,5396154660,7503085.06,719.1915,719.1915,704.8076,8/31/2022
Wekeza Maisha Fund,5270383599,7329877.93,719.0275,719.0275,704.6469,8/30/2022
Wekeza Maisha Fund,5190153526,7219935.07,718.8643,718.8643,704.487,8/29/2022
Wekeza Maisha Fund,5145849275,7159835.85,718.7105,718.7105,704.3363,8/26/2022
Wekeza Maisha Fund,5129872820,7139078.63,718.5623,718.5623,704.1911,8/25/2022
Wekeza Maisha Fund,5121875503,7126032.15,718.7556,718.7556,704.3805,8/24/2022
Wekeza Maisha Fund,5070435841,7056027.62,718.5964,718.5964,704.2244,8/22/2022
Wekeza Maisha Fund,5077729251,7067853.67,718.4259,718.4259,704.0574,8/19/2022
Wekeza Maisha Fund,4980072284,6933377.98,718.275,718.275,703.9095,8/18/2022
Wekeza Maisha Fund,4964511623,6913200.29,718.1206,718.1206,703.7582,8/17/2022
Wekeza Maisha Fund,4889360325,6810005.95,717.9671,717.9671,703.6078,8/16/2022
Wekeza Maisha Fund,4886569148,6807604.48,717.8104,717.8104,703.4542,8/15/2022
Wekeza Maisha Fund,4705299013,6556528.4,717.651,717.651,703.298,8/12/2022
Wekeza Maisha Fund,4700544233,6551664.07,717.4581,717.4581,703.1089,8/11/2022
Wekeza Maisha Fund,4683822841,6529803.93,717.2992,717.2992,702.9532,8/10/2022
Wekeza Maisha Fund,4672859914,6515971.89,717.1394,717.1394,702.7966,8/9/2022
Wekeza Maisha Fund,4663981450,6508429.24,716.6063,716.6063,702.2742,8/5/2022
Wekeza Maisha Fund,4655949115,6498660.11,716.4476,716.4476,702.1186,8/4/2022
Wekeza Maisha Fund,4649704487,6490454.5,716.3912,716.3912,702.0634,8/3/2022
Wekeza Maisha Fund,4641504953,6481378.07,716.1293,716.1293,701.8067,8/2/2022
Wekeza Maisha Fund,4628080964,6461146.16,716.2941,716.2941,701.9682,8/1/2022
Wekeza Maisha Fund,4635976162,6457415.62,717.9306,717.9306,703.572,7/29/2022
Wekeza Maisha Fund,4628533045,6451402.9,717.446,717.446,703.0971,7/28/2022
Wekeza Maisha Fund,4622555625,6439114.04,717.8869,717.8869,703.5292,7/27/2022
Wekeza Maisha Fund,4594792444,6422655.36,715.4039,715.4039,701.0958,7/26/2022
Wekeza Maisha Fund,4553391750,6377723.03,713.9526,713.9526,699.6735,7/25/2022
Wekeza Maisha Fund,4530658877,6369184.52,711.3405,711.3405,697.1137,7/22/2022
Wekeza Maisha Fund,4514217829,6362201.45,709.5371,709.5371,695.3463,7/21/2022
Wekeza Maisha Fund,4503429742,6354301.83,708.7214,708.7214,694.547,7/20/2022
Wekeza Maisha Fund,4490264277,6338994.63,708.3559,708.3559,694.1888,7/19/2022
Wekeza Maisha Fund,4485606217,6332866.47,708.3058,708.3058,694.1397,7/18/2022
