Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Liquid Fund,5.59272E+11,1632828601,342.5173,342.5173,342.5173,12/30/2022
Liquid Fund,5.58526E+11,1631110418,342.4204,342.4204,342.4204,12/29/2022
Liquid Fund,5.57642E+11,1628991152,342.3238,342.3238,342.3238,12/28/2022
Liquid Fund,5.54657E+11,1620728287,342.2268,342.2268,342.2268,12/27/2022
Liquid Fund,5.51446E+11,1613173611,341.8391,341.8391,341.8391,12/23/2022
Liquid Fund,5.51713E+11,1614416060,341.7416,341.7416,341.7416,12/22/2022
Liquid Fund,5.69978E+11,1668847022,341.5399,341.5399,341.5399,12/20/2022
Liquid Fund,5.68912E+11,1666193050,341.4445,341.4445,341.4445,12/19/2022
Liquid Fund,5.68397E+11,1666070779,341.1599,341.1599,341.1599,12/16/2022
Liquid Fund,5.689E+11,1668011046,341.0646,341.0646,341.0646,12/15/2022
Liquid Fund,5.69232E+11,1669451067,340.9696,340.9696,340.9696,12/14/2022
Liquid Fund,5.67573E+11,1665046620,340.8751,340.8751,340.8751,12/13/2022
Liquid Fund,5.66778E+11,1663181099,340.7797,340.7797,340.7797,12/12/2022
Liquid Fund,5.65643E+11,1661697384,340.4005,340.4005,340.4005,12/8/2022
Liquid Fund,5.70122E+11,1675326475,340.3048,340.3048,340.3048,12/7/2022
Liquid Fund,5.69491E+11,1673940526,340.2098,340.2098,340.2098,12/6/2022
Liquid Fund,5.67617E+11,1668895073,340.1156,340.1156,340.1156,12/5/2022
Liquid Fund,5.67529E+11,1670045213,339.8284,339.8284,339.8284,12/2/2022
Liquid Fund,5.66158E+11,1666481524,339.7328,339.7328,339.7328,12/1/2022
Liquid Fund,5.65324E+11,1664502675,339.6355,339.6355,339.6355,11/30/2022
Liquid Fund,5.64881E+11,1663668585,339.5395,339.5395,339.5395,11/29/2022
Liquid Fund,5.62589E+11,1657379956,339.4447,339.4447,339.4447,11/28/2022
Liquid Fund,5.62215E+11,1657659661,339.1617,339.1617,339.1617,11/25/2022
Liquid Fund,5.61523E+11,1656074006,339.0687,339.0687,339.0687,11/24/2022
Liquid Fund,5.6003E+11,1652133058,338.9737,338.9737,338.9737,11/23/2022
Liquid Fund,5.59346E+11,1650564782,338.8819,338.8819,338.8819,11/22/2022
Liquid Fund,5.58087E+11,1647295833,338.7896,338.7896,338.7896,11/21/2022
Liquid Fund,5.38416E+11,1590510556,338.5174,338.5174,338.5174,11/18/2022
Liquid Fund,5.36936E+11,1586578984,338.4237,338.4237,338.4237,11/17/2022
Liquid Fund,5.45626E+11,1615897642,337.6612,337.6612,337.6612,11/16/2022
Liquid Fund,5.45998E+11,1617456320,337.5657,337.5657,337.5657,11/15/2022
Liquid Fund,5.44224E+11,1612653940,337.4707,337.4707,337.4707,11/14/2022
